Iteration	Posterior	Likelihood	Prior	alpha	beta	clockrate[1]	clockrate[2]	clockrate[3]	clockrate[4]	clockrate[5]	clockrate[6]	clockrate[7]	clockrate[8]	clockrate[9]	clockrate[10]	clockrate[11]	clockrate[12]	clockrate[13]	clockrate[14]	clockrate[15]	clockrate[16]	clockrate[17]	clockrate[18]	clockrate[19]	clockrate[20]	clockrate[21]	clockrate[22]	clockrate[23]	clockrate[24]	clockrate[25]	clockrate[26]	clockrate[27]	clockrate[28]	clockrate[29]	clockrate[30]	clockrate[31]	clockrate[32]	clockrate[33]	clockrate[34]	clockrate[35]	clockrate[36]	clockrate[37]	clockrate[38]	clockrate[39]	clockrate[40]	clockrate[41]	clockrate[42]	clockrate[43]	clockrate[44]	mean_clockrate	origin_time	relvar_clockrate	speciation_clade_1	speciation_clade_10	speciation_clade_11	speciation_clade_14	speciation_clade_15	speciation_clade_16	speciation_clade_19	speciation_clade_2	speciation_clade_3	speciation_clade_6	speciation_clade_7	speciation_clade_8	speciation_clade_9
300	-49384.92	-49334.33	-50.59105	0.8290827	35.14142	0.0314472	0.0578966	0.0758389	0.0531197	0.0237644	0.000704324	0.0672972	0.156663	0.0182459	0.0313198	0.0100715	0.0732221	0.0269184	0.017686	0.0327704	0.0246337	0.000849521	0.0269093	0.00986607	0.00179254	0.000967991	0.00107799	0.00127503	0.00117444	0.000908075	0.0400793	0.0023287	0.0102289	0.00409803	0.0100292	0.00343443	0.000557983	0.0014276	0.00448414	0.00142977	0.00197742	0.0235199	0.00223412	0.0227661	0.144376	0.0359344	0.0168138	0.00182757	0.000644792	0.02359275	413.5409	1.206152	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.43621	151.6401	151.419	4.828765	3.413963	2.545506	413.4648
310	-48030.76	-47980.36	-50.40361	0.3685646	16.56105	0.0291889	0.0577666	0.0813799	0.0548757	0.0247454	0.000571852	0.0641517	0.148843	0.0155326	0.030049	0.010413	0.0704894	0.0322493	0.0195555	0.0313359	0.026021	0.000791554	0.0259737	0.0102827	0.00149171	0.000814532	0.00101443	0.00121491	0.00124636	0.000825607	0.038691	0.00189451	0.00924513	0.00300568	0.0104891	0.00280813	0.000461711	0.00136339	0.00463819	0.00120362	0.00180425	0.0217103	0.00203135	0.0228304	0.132434	0.0370167	0.0145706	0.00156028	0.000582442	0.0222549	413.5409	2.713229	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.43621	151.6401	151.2674	4.839944	3.417864	2.503256	413.4648
320	-47353.91	-47305.79	-48.11974	0.4014493	20.72216	0.0274089	0.0620784	0.0773303	0.0563623	0.0241071	0.000548171	0.0565911	0.139858	0.0136142	0.0290142	0.0108314	0.0767912	0.0299693	0.0200513	0.0278647	0.0269704	0.000715068	0.0276591	0.00961412	0.00134497	0.000673878	0.000904033	0.00110391	0.00124683	0.00085075	0.0391042	0.00182647	0.00925147	0.00260961	0.0105856	0.00252207	0.000390939	0.00120189	0.00493147	0.00110192	0.00159989	0.0257285	0.00199288	0.0195502	0.130893	0.0365804	0.0146154	0.00139624	0.000538072	0.01937294	413.5409	2.490975	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.43621	151.6401	151.2674	4.790239	3.417864	2.503256	413.4648
330	-46461.96	-46417.09	-44.86568	0.5087464	28.42546	0.0296507	0.0503398	0.0729037	0.0538628	0.0228284	0.00048683	0.0609675	0.129842	0.0132977	0.0231074	0.0102259	0.0750903	0.0342012	0.0211099	0.0279664	0.0262779	0.000601788	0.0266232	0.00998285	0.00116139	0.000634607	0.000788825	0.000985266	0.00131949	0.000796234	0.0403893	0.00156781	0.0102212	0.00245897	0.0109837	0.00199522	0.000372769	0.00101125	0.00520372	0.00089221	0.0013507	0.0219229	0.00167519	0.0159637	0.138927	0.0405663	0.0157606	0.00109398	0.000466803	0.01789756	413.5409	1.965616	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.43621	151.6401	151.2674	4.939599	3.538015	2.581308	413.4648
340	-45816.9	-45773.08	-43.81682	0.4898619	15.97438	0.0299305	0.048818	0.0704147	0.0559854	0.0210501	0.000454214	0.0643597	0.127085	0.0127243	0.0217615	0.0101119	0.0809454	0.0360306	0.0201174	0.0332446	0.0245711	0.0005171	0.0258384	0.00920693	0.000953111	0.000565657	0.000715555	0.000857942	0.00134226	0.000773708	0.0332475	0.00141876	0.00923618	0.00206645	0.0113061	0.00170589	0.000352742	0.000950522	0.00572373	0.000762722	0.0013507	0.0223231	0.00138014	0.0142918	0.132993	0.0417134	0.0164178	0.00106095	0.000399758	0.03066548	413.5409	2.041392	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.43621	151.6401	151.2674	4.939599	3.538015	2.71635	413.4648
350	-45266.56	-45223.8	-42.75582	0.6273943	27.75687	0.0298152	0.0544568	0.0711572	0.0547617	0.0215512	0.000439586	0.0604924	0.127921	0.0142252	0.0227948	0.0104939	0.0811792	0.037245	0.0173054	0.0345189	0.0250741	0.000598935	0.026798	0.0104615	0.000753355	0.000524398	0.000672219	0.000731472	0.00117036	0.00071267	0.0347553	0.00122886	0.0083447	0.00178205	0.0114125	0.0015236	0.000338262	0.000887936	0.00517783	0.000652662	0.00122303	0.0217274	0.00124011	0.0153463	0.1395	0.0359658	0.0169568	0.000943967	0.000376511	0.02260321	413.5409	1.593894	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.43621	151.6401	151.2674	4.939599	3.49075	2.750874	413.4648
360	-44833.3	-44790.93	-42.37457	0.5335527	28.45755	0.0302455	0.0535314	0.0777975	0.0587571	0.0225581	0.000441082	0.0659028	0.123654	0.0134755	0.0225816	0.0105183	0.0870418	0.0411523	0.0158042	0.0315262	0.0252855	0.000505236	0.0262452	0.0105463	0.000676459	0.000479041	0.000616214	0.000691567	0.00101902	0.000671551	0.034557	0.0011143	0.00801337	0.00161073	0.0110882	0.00127118	0.000298442	0.000845058	0.00500212	0.00059325	0.000926376	0.0204755	0.00119969	0.0152504	0.153505	0.0325335	0.0161619	0.000792128	0.000319766	0.01874907	413.5409	1.874229	413.5409	208.5142	206.825	176.5412	165.1547	161.0679	84.43621	151.6401	151.2674	5.0433	3.49075	2.750874	413.4648
370	-44403.71	-44361.24	-42.47017	0.484787	18.23203	0.0328611	0.0540155	0.0660399	0.0571508	0.0204804	0.000469738	0.066792	0.127963	0.0135974	0.0253643	0.011663	0.100942	0.047594	0.0182765	0.0335155	0.0241139	0.000490808	0.0280012	0.0107389	0.000559973	0.000398167	0.000546639	0.000659591	0.00111535	0.00059081	0.0385354	0.000976469	0.00776529	0.00138022	0.0136161	0.00110388	0.000315797	0.000765553	0.00548058	0.000582257	0.000802968	0.0214567	0.000917479	0.0169401	0.152548	0.0357596	0.0203765	0.000673437	0.000282368	0.02658985	413.5409	2.062762	413.5409	208.6554	206.825	176.5412	165.1547	161.0679	84.74769	151.6401	151.2674	5.0433	3.49075	2.702488	413.4648
380	-44152.9	-44110.03	-42.86522	0.6198484	25.50412	0.0314829	0.0522902	0.066816	0.0571153	0.0229266	0.000484801	0.0758585	0.140207	0.0130967	0.0259025	0.0124052	0.107809	0.0403591	0.018206	0.0302554	0.0245737	0.000507927	0.0248365	0.00985871	0.000513865	0.000377973	0.000540391	0.000657866	0.00111236	0.000506628	0.0376642	0.000832519	0.0082782	0.00131781	0.0122589	0.000884163	0.000295293	0.00069973	0.00433316	0.000467943	0.000663942	0.0205465	0.000842201	0.0154122	0.156492	0.0361212	0.0202495	0.000594548	0.000231953	0.02430385	413.5409	1.613298	413.5409	208.6554	206.825	176.5412	165.1547	161.0679	84.74769	151.6401	151.2674	4.727617	3.49075	2.702488	413.4648
390	-43928.85	-43888.33	-40.51585	0.3819407	14.0786	0.0300232	0.0490535	0.0704961	0.0574778	0.0239697	0.000403046	0.0711651	0.13791	0.013744	0.0263478	0.0107012	0.107299	0.0399135	0.0169749	0.033504	0.0203988	0.000490462	0.0234932	0.00966827	0.000446093	0.000322941	0.000523776	0.000616783	0.00108889	0.00047477	0.036617	0.000752238	0.00863623	0.00122293	0.0113175	0.000775081	0.00028118	0.000591491	0.00428687	0.000398182	0.00061757	0.019441	0.00065889	0.0152042	0.136649	0.0397383	0.0217746	0.000532857	0.000201357	0.02712916	413.5409	2.618208	413.5409	208.6554	206.825	176.5412	165.1547	161.0679	84.74769	151.6401	151.2674	4.690939	3.553714	2.702488	413.4648
400	-43700.44	-43660.3	-40.14817	0.4118117	11.43191	0.0303219	0.0524477	0.0731982	0.054543	0.0246745	0.000387239	0.0769236	0.139021	0.0136181	0.0227584	0.01165	0.101616	0.0452458	0.0155315	0.0329079	0.0169771	0.000471125	0.0212442	0.00832027	0.000382921	0.000267721	0.000522162	0.00058086	0.00114462	0.00048555	0.0341621	0.000579813	0.00950518	0.0010911	0.00926158	0.000724149	0.000278165	0.000538263	0.00504536	0.000313146	0.000528993	0.0205608	0.000544609	0.017381	0.138907	0.0356747	0.0223359	0.000497576	0.000190978	0.03602299	413.5409	2.428294	413.5409	208.6554	206.825	181.5968	165.1547	161.0679	84.74769	151.6401	150.9681	4.860998	3.497339	2.702488	413.4648
410	-43493.21	-43453.54	-39.66152	0.320292	11.9307	0.029612	0.0524781	0.0787459	0.0518194	0.023582	0.000380942	0.0747242	0.125049	0.0159047	0.0210926	0.0119054	0.0875782	0.0451041	0.0152561	0.0266291	0.0168653	0.000488727	0.0212498	0.00886338	0.000358219	0.000302174	0.0003943	0.000425308	0.00107394	0.000508042	0.0333207	0.000484258	0.0106078	0.000930228	0.00967221	0.000715338	0.00031282	0.000478233	0.00485027	0.000292999	0.000495499	0.0206514	0.000472618	0.0191837	0.150723	0.0330246	0.0219661	0.000506328	0.000193746	0.02684604	413.5409	3.122151	413.5409	208.6554	204.8303	178.3328	165.1547	161.0679	84.74769	151.6401	150.9681	5.051443	3.546675	2.702488	413.4648
420	-43370.06	-43332.92	-37.13674	0.3943069	11.61696	0.0320551	0.0488591	0.0753602	0.0509788	0.0220398	0.000418752	0.0712279	0.120569	0.0173696	0.019096	0.0109199	0.0752679	0.0439104	0.0151961	0.0237836	0.0172381	0.000463018	0.0228408	0.00829065	0.000321826	0.000306543	0.000334937	0.00038661	0.000982603	0.000477761	0.0354144	0.00041998	0.00913634	0.000856817	0.0085333	0.000638035	0.00028249	0.000462809	0.00453564	0.000289254	0.000498365	0.0203975	0.000391191	0.0219009	0.142883	0.0346693	0.0231923	0.000404893	0.000171597	0.03394236	413.5409	2.536096	413.5409	208.6554	204.8303	178.3328	165.1547	161.0679	84.74769	151.6401	150.9681	5.051443	3.546675	2.702488	413.4648
430	-43302.2	-43265.82	-36.38074	0.4100559	13.53511	0.0314445	0.057787	0.0686749	0.0556456	0.0214677	0.000413208	0.0698078	0.115576	0.020143	0.0196092	0.0109583	0.07798	0.045928	0.0156652	0.0216967	0.0166005	0.000498376	0.0228961	0.00888042	0.000316635	0.000330708	0.00031789	0.000373497	0.000969991	0.000520202	0.032127	0.00035994	0.00894499	0.000804928	0.0100284	0.000569483	0.000292136	0.000429734	0.004783	0.000227973	0.000482721	0.0207399	0.000366073	0.0243693	0.134166	0.0381816	0.0257216	0.000366488	0.000162766	0.03029571	413.5409	2.438692	413.5409	208.6554	204.8303	179.3234	165.1547	161.0679	84.74769	151.6401	150.9681	4.949504	3.546675	2.702488	413.4648
440	-43239.03	-43200.14	-38.8817	0.2860463	11.7345	0.0308686	0.054735	0.0770129	0.0558356	0.0229254	0.000393692	0.0715503	0.12151	0.0192365	0.0172176	0.00908408	0.0773504	0.0482112	0.014602	0.0246044	0.013093	0.000530116	0.0226236	0.00952474	0.000305752	0.000348752	0.000306025	0.000307542	0.00093763	0.000514114	0.0309767	0.000323987	0.00895875	0.000698082	0.0102569	0.000577996	0.000316523	0.000431492	0.00570603	0.000224421	0.000454483	0.0195778	0.000342499	0.026982	0.13795	0.0383155	0.0276704	0.000362655	0.000161112	0.02437653	413.5409	3.495938	413.5409	208.6554	204.8303	179.3234	165.1547	161.0679	84.74769	151.6401	150.9681	5.112591	3.50588	2.589932	413.2117
450	-43169.31	-43132.78	-36.5294	0.4343591	12.23035	0.0295315	0.0537493	0.0767233	0.0520805	0.0236234	0.000413208	0.071381	0.106189	0.0200812	0.0165384	0.00893732	0.0844163	0.04805	0.013709	0.0237112	0.0128862	0.000498467	0.0266544	0.00940407	0.000305259	0.000308693	0.000256224	0.000255001	0.000949195	0.000560367	0.031637	0.00031748	0.0088927	0.000656736	0.00974805	0.000540024	0.000358907	0.000417157	0.00538674	0.000227225	0.000459452	0.0190503	0.000332438	0.031208	0.137548	0.0352226	0.0293723	0.000310749	0.000145426	0.03551485	413.5409	2.302242	413.5409	208.6554	204.8303	183.0699	165.1547	161.0679	84.34361	151.6401	150.2534	4.998225	3.50588	2.589932	413.2117
460	-43160.18	-43124.31	-35.8674	0.3795891	12.19316	0.0329686	0.0523309	0.0859213	0.0521881	0.0219056	0.000362311	0.0803478	0.110039	0.0223988	0.0145972	0.0108502	0.0863176	0.0502353	0.0140855	0.0229377	0.0133174	0.000443946	0.0292985	0.0086369	0.000283783	0.000335887	0.000247161	0.000230133	0.000918495	0.00051945	0.0286595	0.000302448	0.00860803	0.000650647	0.00805013	0.000511471	0.000369736	0.000440076	0.00531716	0.000246624	0.000417172	0.0190704	0.000312965	0.0332193	0.126616	0.0339018	0.0263208	0.000302258	0.000151514	0.03113132	413.5409	2.634427	413.5409	208.6554	204.8303	183.1606	165.1547	161.0679	84.34361	151.6401	150.2534	5.01497	3.518425	2.61731	413.2117
470	-43126.76	-43091.91	-34.85124	0.5031419	18.82336	0.0332634	0.0542946	0.0826989	0.0562793	0.0227041	0.000334166	0.0800884	0.106885	0.0227743	0.0168356	0.00925656	0.0781984	0.051998	0.0152634	0.0227078	0.0148123	0.000471076	0.0260768	0.00927591	0.000287033	0.000350564	0.000211155	0.000203612	0.000870306	0.000487764	0.0333566	0.000291745	0.00834783	0.000604583	0.00818324	0.000465607	0.000338906	0.000433089	0.00464841	0.000238386	0.00049221	0.0173265	0.000272681	0.0323564	0.122938	0.0359305	0.0257245	0.000280233	0.000133136	0.02672966	413.5409	1.987511	413.5409	208.6554	204.8303	183.1606	165.1547	161.0679	84.61791	151.6401	150.2534	5.021115	3.574748	2.559701	413.2117
480	-43114.2	-43075.91	-38.29817	0.2632229	11.24515	0.0328908	0.0596551	0.0758439	0.0561557	0.0233827	0.000341087	0.0713986	0.119362	0.0216753	0.0188301	0.00970519	0.0801687	0.0458512	0.0149646	0.0241326	0.0145865	0.000459369	0.0243388	0.00971492	0.000259377	0.000366293	0.000234493	0.000178909	0.000983339	0.000445479	0.0345315	0.00029023	0.00752597	0.000572793	0.00786392	0.000444849	0.000350026	0.000423619	0.00484281	0.000220877	0.000493126	0.0182143	0.000262128	0.0342028	0.130922	0.0385561	0.0260168	0.000216604	0.000119963	0.02340769	413.5409	3.799062	413.5409	208.6554	204.8303	180.5581	165.1547	161.0679	84.61791	151.6401	150.2534	5.021115	3.329966	2.37759	413.2117
490	-43076.62	-43040.91	-35.70798	0.3317643	11.83654	0.0305587	0.0584029	0.0867221	0.0578541	0.0242189	0.000347058	0.0708467	0.118845	0.0203768	0.0186695	0.0101428	0.0840755	0.0511187	0.0138802	0.022137	0.0145171	0.00043578	0.0232911	0.011087	0.000243929	0.000315632	0.000198405	0.000187879	0.00109849	0.000434992	0.036453	0.000285051	0.00651775	0.000516749	0.00729705	0.000370071	0.000391331	0.000429616	0.00491031	0.000237962	0.000439866	0.0200257	0.000262076	0.0344889	0.136852	0.0410704	0.0252163	0.000207612	0.000120307	0.02802882	413.5409	3.014188	413.5409	208.6554	204.8303	180.5581	165.1547	161.0728	84.61791	151.6401	150.2534	4.576965	3.329966	2.37759	413.2117
500	-43059.43	-43022.84	-36.59673	0.3801298	24.32439	0.0318136	0.0611146	0.0847003	0.059672	0.0238519	0.000323728	0.0785539	0.123024	0.0224483	0.0212635	0.0111289	0.082498	0.0618869	0.0138078	0.017356	0.0151759	0.000467788	0.0232294	0.00979845	0.000273466	0.000314351	0.000203216	0.000182427	0.00108419	0.000398847	0.0342994	0.00027374	0.00640802	0.000447045	0.0078125	0.000358873	0.000358221	0.000347425	0.0047768	0.000249975	0.000439717	0.0199558	0.000265327	0.0352686	0.13492	0.0410708	0.0232222	0.000229303	0.000108661	0.01562751	413.5409	2.630681	413.5409	208.6554	204.8303	180.5581	165.1547	161.0728	86.27323	151.6401	150.2534	4.576965	3.328502	2.37759	413.2117
