Iteration	Posterior	Likelihood	Prior	alpha	beta	clockrate[1]	clockrate[2]	clockrate[3]	clockrate[4]	clockrate[5]	clockrate[6]	clockrate[7]	clockrate[8]	clockrate[9]	clockrate[10]	clockrate[11]	clockrate[12]	clockrate[13]	clockrate[14]	clockrate[15]	clockrate[16]	clockrate[17]	clockrate[18]	clockrate[19]	clockrate[20]	clockrate[21]	clockrate[22]	clockrate[23]	clockrate[24]	clockrate[25]	clockrate[26]	clockrate[27]	clockrate[28]	clockrate[29]	clockrate[30]	clockrate[31]	clockrate[32]	clockrate[33]	clockrate[34]	clockrate[35]	clockrate[36]	clockrate[37]	clockrate[38]	clockrate[39]	clockrate[40]	clockrate[41]	clockrate[42]	clockrate[43]	clockrate[44]	mean_clockrate	origin_time	relvar_clockrate	speciation_clade_1	speciation_clade_10	speciation_clade_11	speciation_clade_14	speciation_clade_15	speciation_clade_16	speciation_clade_19	speciation_clade_2	speciation_clade_3	speciation_clade_6	speciation_clade_7	speciation_clade_8	speciation_clade_9
100	-101978.5	-101910.5	-68.01114	2.210537	73.17881	0.0381302	0.0579345	0.0781041	0.0542363	0.0388486	0.00985742	0.0694158	0.143725	0.0384088	0.034499	0.0787365	0.143319	0.0117521	0.0275775	0.0435463	0.0290652	0.0124106	0.0249699	0.0178262	0.0215718	0.0177015	0.013687	0.0135821	0.00884662	0.00884061	0.0682918	0.0234664	0.028292	0.0324803	0.0336207	0.0411329	0.00644048	0.0182082	0.0259039	0.0165191	0.0228531	0.0337701	0.0274309	0.0251555	0.0907481	0.022039	0.0241899	0.0204412	0.0106817	0.03020734	416.2974	0.4523787	416.2974	208.5142	193.3154	176.1671	165.8598	164.8527	84.27567	154.7143	150.7478	4.945469	3.828718	2.44287	413.4648
110	-98770.21	-98704.29	-65.91573	1.757203	42.92888	0.0313431	0.0555375	0.0815133	0.0532179	0.0349456	0.00820904	0.0740864	0.131363	0.0339245	0.0382072	0.0642135	0.139591	0.011149	0.0220708	0.049863	0.0343739	0.011357	0.022222	0.016473	0.0168625	0.0147005	0.0126451	0.0127739	0.00795326	0.00746931	0.0701666	0.0213475	0.0273958	0.0317277	0.0326466	0.0345286	0.00621117	0.0182082	0.0234708	0.0154148	0.020788	0.0317455	0.0236774	0.0211005	0.0961858	0.0214068	0.0228885	0.0173026	0.00953461	0.04093289	415.9483	0.5690861	415.9483	208.5142	193.3154	176.1671	165.8598	164.8527	84.27567	154.7143	150.1147	4.945469	3.739789	2.44287	413.4648
120	-94542.32	-94479.51	-62.80724	1.576883	45.49169	0.0276653	0.0531093	0.078871	0.048488	0.0336023	0.00729474	0.0768624	0.121004	0.0330485	0.038908	0.0553902	0.115583	0.0116315	0.0184809	0.0535098	0.0314633	0.0102708	0.0207612	0.014907	0.0139409	0.0126506	0.0118611	0.0114348	0.00717091	0.0065759	0.0678543	0.0152101	0.0250219	0.0261519	0.0309202	0.0294659	0.00560533	0.0170215	0.0214645	0.0119028	0.0169402	0.0327574	0.0210766	0.0200921	0.107833	0.0211355	0.0188444	0.0146847	0.0088069	0.03466309	414.5209	0.6341626	414.5209	208.5142	197.4163	176.1671	165.8598	164.8527	84.27567	154.7143	150.1147	5.041432	3.675668	2.44287	413.4648
130	-90611.57	-90547.21	-64.36567	1.865638	54.35467	0.028141	0.0569174	0.0839976	0.054605	0.0288232	0.00604511	0.0711031	0.128774	0.0376068	0.0371	0.0433121	0.131632	0.0120383	0.0178299	0.0484248	0.030832	0.00836125	0.0198037	0.0132796	0.0112579	0.0109016	0.0107161	0.00962667	0.00660598	0.00556364	0.0862834	0.0137009	0.0216481	0.023382	0.0320744	0.0237783	0.0045324	0.0146776	0.020022	0.0116627	0.0143155	0.0328039	0.0196522	0.0169061	0.102117	0.0213098	0.0183884	0.0125549	0.0080742	0.03432341	414.5209	0.5360098	414.5209	208.5142	197.4163	176.1917	165.8598	164.8527	84.27567	154.7143	150.1147	5.411557	3.675668	2.427951	413.4648
140	-86705.07	-86639.61	-65.46523	1.147599	43.95402	0.0305699	0.0514163	0.0743103	0.0515818	0.025165	0.00506343	0.0664262	0.137442	0.0346163	0.0380368	0.040804	0.144612	0.0120232	0.0168576	0.0565519	0.0376947	0.00716161	0.0208858	0.0150302	0.0101086	0.0100608	0.00904091	0.00808233	0.00618649	0.00541467	0.0815441	0.0113262	0.0190555	0.0211875	0.0312186	0.0208307	0.00372086	0.0135731	0.0172924	0.0100534	0.0137227	0.0355785	0.0168052	0.0159629	0.110925	0.0230167	0.0186601	0.0108146	0.00675072	0.02610907	414.5209	0.8713846	414.5209	208.5142	206.0143	176.1917	165.8598	161.0679	84.27567	151.6401	150.1147	5.125959	3.675668	2.520894	413.4648
150	-83243.71	-83179.48	-64.23931	1.387148	40.34327	0.0319162	0.053787	0.0796588	0.0534311	0.0250797	0.00476997	0.074746	0.136782	0.0310598	0.0315309	0.0390767	0.155317	0.0142694	0.0153083	0.0537531	0.0303703	0.00649079	0.019591	0.0153393	0.00884919	0.00828533	0.00770605	0.00750534	0.00537071	0.00493021	0.0856697	0.0107084	0.0169509	0.0170249	0.0266948	0.0173484	0.00328576	0.0125689	0.0153068	0.00859398	0.0120762	0.0345572	0.0147492	0.0159	0.108423	0.0227106	0.0171573	0.00979056	0.00613961	0.03438363	414.5209	0.7209036	414.5209	208.5142	206.0143	176.1917	165.8598	161.0679	84.27567	151.6401	150.1147	5.318351	3.675668	2.520894	413.4648
160	-79136.85	-79072.52	-64.32988	1.46587	52.28851	0.0301195	0.0538153	0.0795497	0.0531441	0.024579	0.00403512	0.0615242	0.143886	0.0272038	0.0330172	0.0351102	0.162345	0.0146743	0.0162115	0.0458091	0.0317138	0.00529056	0.019871	0.0150894	0.00755459	0.00682664	0.00543628	0.00731776	0.00454026	0.00432393	0.0955384	0.010225	0.0160805	0.0145951	0.022788	0.0155226	0.0030662	0.0102624	0.0144686	0.00702532	0.00987712	0.0330393	0.0135614	0.016334	0.107368	0.0222682	0.0185738	0.00782514	0.00549968	0.02803426	414.5209	0.6821889	414.5209	208.5142	206.825	176.1917	165.8598	161.0679	84.27567	151.6401	150.1147	5.318351	3.675668	2.621668	413.4648
170	-75337.7	-75275.09	-62.61508	1.017982	28.49796	0.0291516	0.0581491	0.0832623	0.0552644	0.0253843	0.00340272	0.0571191	0.140309	0.0251082	0.030352	0.0329753	0.147579	0.0144673	0.0147984	0.0515452	0.0328503	0.00411965	0.0172174	0.0167359	0.00676062	0.00539408	0.00493066	0.00619145	0.00405732	0.00377237	0.0900598	0.0100112	0.0135077	0.0137301	0.0230784	0.0117865	0.00291752	0.00914839	0.0136953	0.00619308	0.0094586	0.0285428	0.010641	0.0148696	0.110099	0.02152	0.0187429	0.00737614	0.0040221	0.03572121	414.5209	0.982336	414.5209	208.5142	206.825	176.1917	165.8598	161.0679	84.27567	151.6401	150.1147	5.597227	3.699442	2.467344	413.4648
180	-72156.34	-72096.22	-60.11426	0.9414907	36.16848	0.0289161	0.0554949	0.0768788	0.0532162	0.024693	0.00294714	0.0521693	0.14484	0.0240064	0.0281935	0.0310185	0.138943	0.014203	0.0136358	0.0493685	0.0315696	0.0035934	0.0191526	0.0152851	0.00567689	0.00506402	0.00451193	0.00495634	0.00380301	0.0032414	0.0832887	0.00909354	0.0131942	0.0123601	0.0242811	0.0108479	0.00240422	0.00797748	0.00944161	0.00555556	0.00836336	0.0316691	0.00932289	0.0140955	0.107087	0.0244096	0.0167921	0.00668878	0.00330988	0.02603069	414.5209	1.062145	414.5209	208.5142	206.825	176.1917	165.8598	161.0679	84.27567	151.6401	150.1147	5.521177	3.64039	2.467344	413.4648
190	-69408.76	-69350.87	-57.89683	0.9572855	36.06485	0.0295532	0.0515561	0.0768582	0.0533809	0.0252626	0.00258806	0.0496413	0.144702	0.022529	0.0301826	0.0266183	0.125911	0.0153405	0.0146968	0.0517609	0.0314921	0.00293075	0.0187137	0.0154722	0.00529172	0.00394901	0.00374748	0.00470417	0.0031927	0.00292275	0.0641946	0.00882037	0.0126259	0.0113217	0.0209536	0.0102727	0.00193524	0.00681619	0.00743105	0.00504538	0.00740196	0.0282875	0.00828616	0.0148413	0.109133	0.0228807	0.018737	0.00581174	0.00305557	0.02654345	414.0211	1.04462	414.0211	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	150.1147	5.179013	3.64039	2.467344	413.4648
